"#","Application.Term","GPA.2145","GPA.2155","GPA.2165","GPA.2175","GPA.2185","cgpa","Current.Program","Total","Total.English","Math.Placement.Exam.Score","Physics.Placement.Score","SAT.Reading","SAT.Writing","SAT.Math","SAT.Total","Transcripts","Description/Qualification.(G12,.IGCSE,.AS,.A.Level,.Uni,.etc)","Curriculum","English","EnglishGrade","math","MathGrade","Physics","PhysicsGrade","Grit_1","Grit_2","Grit_3","Grit_4","Grit_5","Grit_6","Grit_7","Grit_8","Grit_9","Grit_10","Grit_11","Grit_12","SelfControl_1","SelfControl_2","SelfControl_3","SelfControl_4","SelfControl_5","SelfControl_6","SelfControl_7","SelfControl_8","SelfControl_9","SelfControl_10"
139,2161,0,0,3.3,3.57,0,3.57,"Bachelor of Science in Mechanical Engineering",9,"667",19,18,570,570,630,1770,"IGCSE&AS/G10-12","IGCSE&AS/G10-12","African","75",4,"93",4,"93",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,2151,0,3.2,2.96,2.89,2.76,2.76,"Bachelor of Science in Mechanical Engineering",7,"95",23,22,NA,NA,590,590,"Y","G12, HS Diploma","American","A+",0,"A",0,"A",0,"Mostly like me","Not much like me","Somewhat like me","Very much like me","Mostly like me","Very much like me","Not much like me","Mostly like me","Somewhat like me","Very much like me","Mostly like me","Very much like me","Somewhat like me","Not much like me","Not much like me","Very much like me","Very much like me","Very much like me","Mostly like me","Somewhat like me","Mostly like me","Not much like me"
141,2171,0,0,0,2.6,0,2.6,"Bachelor of Science in Computing Security",7.5,"590",9,7,NA,NA,NA,NA,"Y","Y","IB","6",0,"3",0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,2175,0,0,0,3.81,0,3.81,"Bachelor of Science in Computing Security",7.5,"7.5",23,15,NA,NA,NA,NA,"Y","Y","Others","C1",3,"B",3.7,"B",3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,2171,0,0,0,2.47,2.23,2.23,"Bachelor of Science in Computing Security",6.5,"6.5",10,4,200,200,510,910,"Y","Y","British","85",0,"85",0,"85",0,"Mostly like me","Somewhat like me","Mostly like me","Not much like me","Mostly like me","Somewhat like me","Mostly like me","Mostly like me","Somewhat like me","Somewhat like me","Mostly like me","Somewhat like me","Somewhat like me","Mostly like me","Not much like me","Very much like me","Somewhat like me","Mostly like me","Somewhat like me","Not much like me","Not much like me","Not much like me"
144,2141,1.62,1.91,1.75,2.09,2.25,2.25,"Bachelor of Science in Industrial Engineering",7.5,"593",14,8,NA,NA,NA,NA,"Y","CBSE","Indian","88",0,"34",0,"61",0,"Somewhat like me","Not much like me","Mostly like me","Mostly like me","Mostly like me","Very much like me","Mostly like me","Mostly like me","Somewhat like me","Mostly like me","Mostly like me","Very much like me","Mostly like me","Very much like me","Somewhat like me","Mostly like me","Somewhat like me","Very much like me","Somewhat like me","Very much like me","Very much like me","Mostly like me"
145,2171,0,0,0,3.79,3.71,3.71,"Bachelor of Science in Industrial Engineering",8,"8",20,24,NA,NA,NA,NA,"G12","Y","American","99",0,"97",0,"98",0,"Very much like me","Not much like me","Very much like me","Very much like me","Very much like me","Very much like me","Very much like me","Not much like me","Very much like me","Very much like me","Very much like me","Very much like me","Not much like me","Not much like me","Not like me at all","Very much like me","Very much like me","Very much like me","Not much like me","Not like me at all","Not like me at all","Not like me at all"
147,2141,2.37,2.76,2.82,2.72,2.7,2.7,"Bachelor of Science in Mechanical Engineering",6.5,"82",19,10,NA,NA,NA,NA,"Y","G12, Diploma","Others","77",4,"49",1,"66",3,"Very much like me","Not much like me","Not much like me","Very much like me","Not much like me","Very much like me","Not much like me","Not much like me","Very much like me","Very much like me","Very much like me","Very much like me","Not much like me","Not much like me","Not much like me","Not much like me","Mostly like me","Very much like me","Somewhat like me","Not much like me","Somewhat like me","Not much like me"
148,2151,0,2.33,2.54,2.57,2.63,2.63,"Bachelor of Science in Mechanical Engineering",6.5,"6.5",8,10,NA,NA,NA,NA,"G10-11, G12-Sem 1","G12, HS Diploma","Others","14.5 Good",4,"4.8 Weak",0,"9.9  Good",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,2145,2.33,0,2.28,2.21,2.18,2.18,"Bachelor of Science in Mechanical Engineering",7,"583",19,14,200,200,540,940,"UNI/HS","G12, Uni???","American","91",0,"79",0,"81",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,2151,0,0,3.53,3.56,3.54,3.54,"Bachelor of Science in Mechanical Engineering",6.5,"550, 543",20,17,380,390,650,1420,"G10-12","G12","American","94",0,"98",0,"88",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,2141,3.69,3.77,3.73,3.76,3.78,3.78,"Bachelor of Science in Mechanical Engineering",7.5,"7.5",26,16,490,540,700,1730,"G12 & IGCSE","G12, HS Diploma","American","90",0,"100",0,"97",0,"Very much like me","Not much like me","Very much like me","Somewhat like me","Mostly like me","Not like me at all","Not much like me","Not like me at all","Very much like me","Very much like me","Mostly like me","Mostly like me","Very much like me","Not much like me","Not much like me","Very much like me","Very much like me","Very much like me","Very much like me","Very much like me","Not much like me","Not much like me"
152,2165,0,0,2.92,2.52,2.58,2.58,"Bachelor of Science in Mechanical Engineering",4.5,"483 / 503",10,17,NA,NA,NA,NA,"Y","Y","British","D",0,"B",0,"B",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,2165,0,0,1.87,2.5,2.53,2.53,"Bachelor of Science in Mechanical Engineering",6.5,"563",20,12,NA,NA,NA,NA,"IGCSE","Y","British","B",0,"A",0,"C",0,"Very much like me","Somewhat like me","Not much like me","Very much like me","Not like me at all","Very much like me","Not much like me","Not much like me","Very much like me","Very much like me","Mostly like me","Very much like me","Somewhat like me","Not much like me","Very much like me","Somewhat like me","Very much like me","Very much like me","Somewhat like me","Somewhat like me","Somewhat like me","Somewhat like me"
154,2141,3.9,3.92,3.94,3.94,3.95,3.95,"Bachelor of Science in Electrical Engineering",8,"633",20,20,NA,NA,NA,NA,"KSCE results","KNEC, HS Diploma","African","4",4,"4",4,"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,2151,0,1.73,0,2.19,2.24,2.24,"Bachelor of Science in Mechanical Engineering",5.5,"480/460/5.5",11,10,NA,NA,NA,NA,"G10-12","G12","MOE","89.8",0,"95.3",0,"86.5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,2145,2.17,2.02,2.12,2.23,2.31,2.31,"Bachelor of Science in Computing Security",6,"6, Exmpt-WS",12,7,NA,NA,NA,NA,"Y","G12, Diploma","American","94",0,"96",0,"91",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,2171,0,0,0,3.9,3.93,3.93,"Bachelor of Science in Computing Security",7.5,"7.5",27,20,NA,NA,NA,NA,"G10, G12","Y","Indian","95",0,"90",0,"87",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,2161,0,0,1.89,2.31,2.27,2.27,"Bachelor of Science in Industrial Engineering",4,"453",10,7,NA,NA,NA,NA,"G10-11,G12-FINAL","G10-11,G12-FINAL","British","86",0,"84",0,"96",0,"Mostly like me","Very much like me","Very much like me","Mostly like me","Very much like me","Very much like me","Very much like me","Not much like me","Mostly like me","Mostly like me","Mostly like me","Very much like me","Very much like me","Very much like me","Somewhat like me","Mostly like me","Somewhat like me","Very much like me","Somewhat like me","Very much like me","Mostly like me","Somewhat like me"
159,2151,0,3.08,2.82,2.72,2.63,2.63,"Bachelor of Science in Mechanical Engineering",6.5,"6.5",16,13,NA,NA,NA,NA,"G9-12","G12, HS Diploma","American","81.38",0,"80.88",0,"82.06",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,2175,0,0,0,2.87,0,2.87,"Bachelor of Science in Mechanical Engineering",8,"630",12,12,NA,NA,NA,NA,"G10,. G11, G12","G10,. G11, G12","American","91",0,"92",0,"77",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,2151,0,3.6,3.64,3.7,3.69,3.69,"Bachelor of Science in Electrical Engineering",7.5,"590",20,19,400,360,590,1350,"G10-11, G12CBSE","CBSE","Indian","85",0,"88",0,"77",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,2141,3.03,2.84,2.73,2.78,2.85,2.85,"Bachelor of Science in Electrical Engineering",8,"613",23,23,NA,NA,NA,NA,"G9-11&CBSE","CBSE","Indian","95",0,"47",0,"82",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,2171,0,0,0,3.89,3.92,3.92,"Bachelor of Science in Computing Security",8,"623",25,19,NA,NA,NA,NA,"Y","Y","Indian","96",0,"95",0,"95",0,"Somewhat like me","Mostly like me","Not much like me","Mostly like me","Somewhat like me","Mostly like me","Somewhat like me","Very much like me","Mostly like me","Somewhat like me","Somewhat like me","Somewhat like me","Not much like me","Somewhat like me","Not like me at all","Very much like me","Very much like me","Mostly like me","Mostly like me","Somewhat like me","Not much like me","Not much like me"
164,2151,0,2.03,2.69,2.85,2.87,2.87,"Bachelor of Science in Mechanical Engineering",6.5,"6.5",20,13,NA,NA,NA,NA,"G10-11, G12CBSE","CBSE, Diploma","British","70",0,"48",0,"68",0,"Mostly like me","Not much like me","Somewhat like me","Mostly like me","Not much like me","Mostly like me","Not much like me","Somewhat like me","Mostly like me","Mostly like me","Somewhat like me","Very much like me","Mostly like me","Not much like me","Mostly like me","Somewhat like me","Somewhat like me","Somewhat like me","Somewhat like me","Mostly like me","Mostly like me","Mostly like me"
165,2151,0,2.49,2.42,2.67,2.67,2.67,"Bachelor of Science in Mechanical Engineering",7,"587",19,17,NA,NA,NA,NA,"G10-11, G12(CBSE)","CBSE, Diploma, Equivalence","Indian","46",0,"48",0,"77",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,2175,0,0,0,3.33,3.02,3.02,"Bachelor of Science in Mechanical Engineering",6.5,"6.5",14,8,NA,NA,NA,NA,"Y","Y","British","B",0,"A",0,"A",0,"Mostly like me","Somewhat like me","Not much like me","Somewhat like me","Somewhat like me","Mostly like me","Not much like me","Not much like me","Very much like me","Very much like me","Mostly like me","Very much like me","Mostly like me","Somewhat like me","Not much like me","Very much like me","Very much like me","Very much like me","Somewhat like me","Not much like me","Not much like me","Somewhat like me"
167,2175,0,0,0,3.58,0,3.58,"Bachelor of Science in Mechanical Engineering",6.5,"6.5",10,13,NA,NA,NA,NA,"IGCSE","IGCSE","British","B",0,"B",0,"B",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,2151,0,3.18,2.9,0,0,2.9,"Bachelor of Science in Mechanical Engineering",6,"490, 507, 523; 540",14,17,NA,NA,NA,NA,NA,"SSC-Pakistan","Others","93/150",3.7,"114/150",4,"120/150",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,2171,0,0,0,2.78,0,2.78,"Bachelor of Science in Mechanical Engineering",8,"633",22,14,NA,NA,NA,NA,"Y","Y","IB","B",0,"A",0,"A",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,2151,0,2.83,3.01,3.03,3.06,3.06,"Bachelor of Science in Mechanical Engineering",7,"7",17,18,NA,NA,NA,NA,"G10-12","G12","American","86",0,"90",0,"86",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,2171,0,0,0,2.39,1.97,1.97,"Bachelor of Science in Microelectronic Engineering",5,"5",14,7,NA,NA,NA,NA,"Y","Y","MOE","88.9",0,"83.1",0,"78.900000000000006",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,2171,0,0,0,2,1.2,1.2,"Bachelor of Science in Industrial Engineering",5,"5",9,6,NA,NA,NA,NA,"Y","G12","MOE","66.8",0,"89.1",0,"64.400000000000006",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,2151,0,2.33,2.52,2.46,0,2.46,"Bachelor of Science in Mechanical Engineering",6.5,"567",12,8,NA,NA,NA,NA,"IGCSE","IGCSE","British","B",0,"B",0,"C",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,2161,0,0,3.18,3.19,0,3.19,"Bachelor of Science in Electrical Engineering",7.5,"7.5",19,17,NA,NA,NA,NA,"Y","Y","British","85",0,"95",0,"100",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,2155,0,2.11,2.1,2.31,2.29,2.29,"Bachelor of Science in Computing Security",8,"633",15,10,520,510,610,1640,"G11-12, G13(IB)","G11-12, G13(IB)","IB","4",0,"5",0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,2171,0,0,0,3.11,3.01,3.01,"Bachelor of Science in Industrial Engineering",7.5,"7.5",22,18,NA,NA,NA,NA,"Y","Y","British","A",0,"A+",0,"A",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,2141,2.55,2.83,2.95,3,3.01,3.01,"Bachelor of Science in Mechanical Engineering",6.5,"563",11,10,NA,NA,NA,NA,"IGCSE,GCSE,G7-10","IGCSE","British","B",0,"A",0,"0",0,"Very much like me","Mostly like me","Somewhat like me","Not much like me","Somewhat like me","Very much like me","Mostly like me","Not much like me","Mostly like me","Very much like me","Mostly like me","Mostly like me","Somewhat like me","Somewhat like me","Mostly like me","Mostly like me","Mostly like me","Mostly like me","Mostly like me","Somewhat like me","Somewhat like me","Somewhat like me"
